TimeStamp,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,DailyIncreaseTax
2020-03-25 12:19:38,Dominican Republic,392,80.0,10.0,4.0,3.0,379,0.0,36,0.9,0.2564102564102564
2020-03-25 12:19:38,Argentina,387,0.0,8.0,2.0,52.0,327,0.0,9,0.2,0.0
2020-03-25 12:19:38,Serbia,384,81.0,4.0,1.0,15.0,365,21.0,44,0.5,0.26732673267326734
2020-03-25 12:19:38,Colombia,378,0.0,3.0,0.0,6.0,369,0.0,7,0.06,0.0
2020-03-25 12:19:38,Iraq,346,30.0,29.0,2.0,103.0,214,0.0,9,0.7,0.09493670886075956
2020-03-25 12:19:38,Lebanon,333,15.0,4.0,0.0,8.0,321,4.0,49,0.6,0.04716981132075482
2020-03-25 12:19:38,UAE,333,85.0,2.0,0.0,52.0,279,2.0,34,0.2,0.342741935483871
2020-03-25 12:19:38,Armenia,265,16.0,0.0,0.0,16.0,249,6.0,89,,0.06425702811244971
2020-03-25 12:19:38,Algeria,264,0.0,19.0,0.0,65.0,180,0.0,6,0.4,0.0
2020-03-25 12:19:38,Lithuania,255,46.0,4.0,2.0,1.0,250,1.0,94,1,0.22009569377990434
2020-03-25 12:19:38,Taiwan,235,19.0,2.0,0.0,29.0,204,0.0,10,0.08,0.08796296296296302
2020-03-25 12:19:38,Hungary,226,39.0,10.0,1.0,21.0,195,6.0,23,1,0.20855614973262027
2020-03-25 12:19:38,Latvia,221,24.0,0.0,0.0,1.0,220,0.0,117,,0.12182741116751261
2020-03-25 12:19:38,Bulgaria,220,2.0,3.0,0.0,4.0,213,8.0,32,0.4,0.00917431192660545
2020-03-25 12:19:38,Slovakia,216,12.0,0.0,0.0,7.0,209,2.0,40,,0.05882352941176472
2020-03-25 12:19:38,New Zealand,205,0.0,0.0,0.0,22.0,183,0.0,43,,0.0
2020-03-25 12:19:38,Kuwait,195,4.0,0.0,0.0,43.0,152,6.0,46,,0.020942408376963373
2020-03-25 12:19:38,Uruguay,189,0.0,0.0,0.0,0.0,189,3.0,54,,0.0
2020-03-25 12:19:38,Andorra,188,24.0,1.0,0.0,1.0,186,6.0,"2,433",13,0.14634146341463405
2020-03-25 12:19:38,San Marino,187,0.0,21.0,0.0,4.0,162,12.0,"5,511",619,0.0
2020-03-25 12:19:38,Costa Rica,177,0.0,2.0,0.0,2.0,173,4.0,35,0.4,0.0
2020-03-25 12:19:38,North Macedonia,177,29.0,2.0,0.0,1.0,174,1.0,85,1.0,0.19594594594594605
2020-03-25 12:19:38,Tunisia,171,57.0,4.0,0.0,2.0,165,11.0,14,0.3,0.5
2020-03-25 12:19:38,Morocco,170,0.0,5.0,0.0,6.0,159,1.0,5,0.1,0.0
2020-03-25 12:19:38,Bosnia and Herzegovina,168,0.0,3.0,0.0,2.0,163,1.0,51,0.9,0.0
2020-03-25 12:19:38,Jordan,154,0.0,0.0,0.0,1.0,153,0.0,15,,0.0
2020-03-25 12:19:38,Albania,146,23.0,5.0,0.0,17.0,124,3.0,51,2,0.1869918699186992
2020-03-25 12:19:38,Vietnam,141,7.0,0.0,0.0,17.0,124,3.0,1,,0.052238805970149294
2020-03-25 12:19:38,Faeroe Islands,132,10.0,0.0,0.0,38.0,94,2.0,"2,701",,0.08196721311475419
2020-03-25 12:19:38,Malta,129,19.0,0.0,0.0,2.0,127,1.0,292,,0.17272727272727262
2020-03-25 12:19:38,Moldova,125,0.0,1.0,0.0,2.0,122,20.0,31,0.2,0.0
2020-03-25 12:19:38,Cyprus,124,0.0,3.0,0.0,3.0,118,3.0,103,2,0.0
2020-03-25 12:19:38,Ukraine,116,14.0,4.0,1.0,1.0,111,0.0,3,0.09,0.13725490196078427
2020-03-25 12:19:38,Burkina Faso,114,0.0,4.0,0.0,7.0,103,0.0,5,0.2,0.0
2020-03-25 12:19:38,Réunion,111,17.0,0.0,0.0,1.0,110,0.0,124,,0.18085106382978733
2020-03-25 12:19:38,Brunei,109,5.0,0.0,0.0,2.0,107,1.0,249,,0.04807692307692313
2020-03-25 12:19:38,Sri Lanka,102,0.0,0.0,0.0,3.0,99,2.0,5,,0.0
2020-03-25 12:19:38,Oman,99,15.0,0.0,0.0,17.0,82,0.0,19,,0.1785714285714286
2020-03-25 12:19:38,Senegal,99,13.0,0.0,0.0,9.0,90,0.0,6,,0.15116279069767447
2020-03-25 12:19:38,Cambodia,96,5.0,0.0,0.0,10.0,86,1.0,6,,0.05494505494505497
2020-03-25 12:19:38,Azerbaijan,93,6.0,2.0,1.0,10.0,81,6.0,9,0.2,0.06896551724137923
2020-03-25 12:19:38,Venezuela,91,7.0,0.0,0.0,15.0,76,2.0,3,,0.08333333333333326
2020-03-25 12:19:38,Belarus,86,5.0,0.0,0.0,29.0,57,2.0,9,,0.06172839506172845
2020-03-25 12:19:38,Kazakhstan,80,8.0,0.0,0.0,0.0,80,0.0,4,,0.11111111111111116
2020-03-25 12:19:38,Afghanistan,79,5.0,2.0,1.0,2.0,75,0.0,2,0.05,0.06756756756756754
2020-03-25 12:19:38,Guadeloupe,73,0.0,1.0,0.0,0.0,72,4.0,182,2,0.0
2020-03-25 12:19:38,Georgia,73,3.0,0.0,0.0,10.0,63,1.0,18,,0.04285714285714293
2020-03-25 12:19:38,Ivory Coast,73,0.0,0.0,0.0,2.0,71,0.0,3,,0.0
2020-03-25 12:19:38,Cameroon,70,4.0,1.0,0.0,2.0,67,0.0,3,0.04,0.06060606060606055
2020-03-25 12:19:38,Ghana,68,15.0,3.0,1.0,0.0,65,0.0,2,0.10,0.28301886792452824
2020-03-25 12:19:38,Palestine,62,2.0,0.0,0.0,16.0,46,0.0,12,,0.03333333333333344
2020-03-25 12:19:38,Cuba,57,9.0,1.0,0.0,1.0,55,2.0,5,0.09,0.1875
2020-03-25 12:19:38,Martinique,57,0.0,1.0,0.0,0.0,56,7.0,152,3,0.0
2020-03-25 12:19:38,Trinidad and Tobago,57,0.0,0.0,0.0,0.0,57,0.0,41,,0.0
2020-03-25 12:19:38,Uzbekistan,56,6.0,0.0,0.0,0.0,56,4.0,2,,0.1200000000000001
2020-03-25 12:19:38,Montenegro,52,5.0,1.0,0.0,0.0,51,0.0,83,2,0.1063829787234043
2020-03-25 12:19:38,Liechtenstein,51,0.0,0.0,0.0,0.0,51,0.0,"1,338",,0.0
2020-03-25 12:19:38,DRC,48,3.0,2.0,0.0,0.0,46,0.0,0.5,0.02,0.06666666666666665
2020-03-25 12:19:38,Mauritius,48,6.0,2.0,0.0,0.0,46,1.0,38,2,0.1428571428571428
2020-03-25 12:19:38,Nigeria,46,2.0,1.0,0.0,2.0,43,0.0,0.2,0.00,0.045454545454545414
2020-03-25 12:19:38,Kyrgyzstan,44,2.0,0.0,0.0,0.0,44,0.0,7,,0.04761904761904767
2020-03-25 12:19:38,Rwanda,40,0.0,0.0,0.0,0.0,40,0.0,3,,0.0
2020-03-25 12:19:38,Bangladesh,39,0.0,5.0,1.0,7.0,27,0.0,0.2,0.03,0.0
2020-03-25 12:19:38,Channel Islands,39,3.0,0.0,0.0,0.0,39,0.0,224,,0.08333333333333326
2020-03-25 12:19:38,Paraguay,37,10.0,3.0,1.0,0.0,34,1.0,5,0.4,0.37037037037037046
2020-03-25 12:19:38,Honduras,36,6.0,0.0,0.0,0.0,36,0.0,4,,0.19999999999999996
2020-03-25 12:19:38,Mayotte,36,0.0,0.0,0.0,0.0,36,0.0,132,,0.0
2020-03-25 12:19:38,Bolivia,32,3.0,0.0,0.0,0.0,32,0.0,3,,0.10344827586206895
2020-03-25 12:19:38,Macao,30,1.0,0.0,0.0,10.0,20,0.0,46,,0.034482758620689724
2020-03-25 12:19:38,Kenya,28,3.0,0.0,0.0,0.0,28,0.0,0.5,,0.1200000000000001
2020-03-25 12:19:38,Jamaica,25,4.0,1.0,0.0,2.0,22,0.0,8,0.3,0.19047619047619047
2020-03-25 12:19:38,French Polynesia,25,0.0,0.0,0.0,0.0,25,0.0,89,,0.0
2020-03-25 12:19:38,Monaco,23,0.0,0.0,0.0,1.0,22,0.0,586,,0.0
2020-03-25 12:19:38,French Guiana,23,0.0,0.0,0.0,6.0,17,0.0,77,,0.0
